"term"	"Group"	"Umbrella"	"medcodeid"
"acute confusional state, of cerebrovascular origin"	"Cerebrovascular disease"	"Cerebrovascular disease"	"294703019"
"intracerebral haemorrhage in hemisphere, unspecified"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"744921000006116"
"intracerebral haemorrhage, intraventricular"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300277011"
"intracerebral haemorrhage, multiple localized"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"746571000006116"
"left sided intracerebral haemorrhage, unspecified"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"748941000006115"
"right sided intracerebral haemorrhage, unspecified"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"163261000006119"
"sequelae of stroke,not specfd as h'morrhage or infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"149571000006118"
"stenosis, carotid artery"	"Cerebral ischaemia"	"Cerebrovascular disease"	"126531000006111"
"subacute confusional state, of cerebrovascular origin"	"Cerebrovascular disease"	"Cerebrovascular disease"	"294711012"
"subarachnoid haemorrh from intracranial artery, unspecif"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"123441000006112"
"[rfc] cva"	"Cerebral ischaemia"	"Cerebrovascular disease"	"909171000006115"
"[rfc] ischaemic attack"	"Cerebral ischaemia"	"Cerebrovascular disease"	"907611000006110"
"[rfc] stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"907591000006116"
"[rfc] stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"908801000006114"
"[rfc] stroke/cva"	"Cerebral ischaemia"	"Cerebrovascular disease"	"907581000006119"
"[v]personal history of cerebrovascular accident (cva)"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1227592012"
"[v]personal history of stroke"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1227591017"
"[x]cereb infarct due unsp occlus/stenos precerebr arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"370661000006114"
"[x]cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs"	"Cerebral ischaemia"	"Cerebrovascular disease"	"370701000006118"
"[x]cerebrovascular diseases"	"Cerebrovascular disease"	"Cerebrovascular disease"	"370711000006115"
"[x]intracerebral haemorrhage in hemisphere, unspecified"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300956017"
"[x]other cerebral infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300941014"
"[x]other subarachnoid haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300936018"
"[x]other vascular syndroms/brain in cerebrovasculr diseases"	"Cerebral ischaemia"	"Cerebrovascular disease"	"417171000006111"
"[x]subarachnoid haemorrhage from other intracranial arteries"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"300935019"
"admission to stroke unit"	"Cerebral ischaemia"	"Cerebrovascular disease"	"449935012"
"basilar artery occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300303013"
"basilar artery syndrome"	"Cerebral ischaemia"	"Cerebrovascular disease"	"106392017"
"brainstem infarction nos"	"Cerebral ischaemia"	"Cerebrovascular disease"	"345650013"
"bulbar haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"483988011"
"carotid artery disease"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1228941010"
"carotid artery disease"	"Cerebral ischaemia"	"Cerebrovascular disease"	"6350071000006110"
"carotid artery doppler abnormal"	"Cerebral ischaemia"	"Cerebrovascular disease"	"2160121019"
"carotid artery occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"395778016"
"carotid artery stenosis"	"Cerebral ischaemia"	"Cerebrovascular disease"	"107332010"
"carotid artery syndrome hemispheric"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300344014"
"carotid endarterectomy and patch"	"Cerebral ischaemia"	"Cerebrovascular disease"	"271533019"
"central post-stroke pain"	"Cerebral ischaemia"	"Cerebrovascular disease"	"413750011"
"central post-stroke pain"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1726581000006116"
"cerebellar haemorrhage"	"Intracranial haemorrhage"	"Cerebrovascular disease"	"502878012"
"cerebellar infarction"	"Cerebral ischaemia"	"Cerebrovascular disease"	"158118014"
"cerebellar stroke syndrome"	"Vascular syndromes of brain in cerebrovascular diseases"	"Cerebrovascular disease"	"300366019"
"cerebral arterial occlusion"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1222398015"
"cerebral degeneration due to cerebrovascular disease"	"Cerebral ischaemia"	"Cerebrovascular disease"	"297013012"
"cerebral degeneration in hunter's disease"	"Cerebral ischaemia"	"Cerebrovascular disease"	"296994014"
"cerebral embolism"	"Cerebral ischaemia"	"Cerebrovascular disease"	"125470015"
"cerebral embolus"	"Cerebral ischaemia"	"Cerebrovascular disease"	"542831000006116"
"cerebral infarct due to thrombosis of precerebral arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300312010"
"cerebral infarction due to embolism of cerebral arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300322016"
"cerebral infarction due to embolism of precerebral arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300313017"
"cerebral infarction due to thrombosis of cerebral arteries"	"Cerebral ischaemia"	"Cerebrovascular disease"	"300321011"
"cerebral thrombosis"	"Cerebral ischaemia"	"Cerebrovascular disease"	"118689010"
"cerebral venous thrombosis"	"Cerebral ischaemia"	"Cerebrovascular disease"	"1729331000006116"
"cerebral venous thrombosis"	"Cerebral ischaemia"	"Cerebrovascular disease"	"4056981000006115"
